task_id,node_name,automation_share,automation_pct,augmentation_pct,pct,ai_autonomy_mean,human_only_time_mean,human_with_ai_time_mean
10782,Sort cargo before loading and unloading.,94.55,96.55,5.56,0.0,3.45,1.12,10.56
1082,Schedule staff hours and assign duties.,18.75,18.75,81.25,0.0,3.13,7.14,46.81
10831,"Prepare, organize, and maintain inspection records.",76.6,76.6,23.4,0.0,3.41,6.74,29.22
10844,Evaluate label information for accuracy and conformance to regulatory requirements.,20.0,20.0,80.0,0.0,2.7,3.34,22.35
10866,Interpret civil rights laws and equal opportunity regulations for individuals or employers.,40.74,40.74,59.26,0.0,2.45,3.12,27.41
10869,"Coordinate, monitor, or revise complaint procedures to ensure timely processing and review of complaints.",100.0,100.0,0.0,0.0,2.58,,1.16
10875,"Provide information, technical assistance, or training to supervisors, managers, or employees on topics such as employee supervision, hiring, grievance procedures, or staff development.",44.44,44.44,55.56,0.0,2.81,4.0,32.56
1088,"Review work procedures and operational problems to determine ways to improve service, performance, or safety.",42.89,44.0,58.58,0.05,2.74,5.88,54.77
10903,"Perform complex calculations as part of the analysis and evaluation of data, using computers.",50.57,50.57,49.43,0.1,2.69,4.58,32.95
10904,Describe and express observations and conclusions in mathematical terms.,44.26,44.26,55.74,0.01,2.79,9.12,42.06
10934,Pray and promote spirituality.,48.59,48.59,51.41,0.02,3.0,2.71,36.08
10938,"Share information about religious issues by writing articles, giving speeches, or teaching.",47.3,47.3,52.7,0.02,2.91,7.54,32.55
10940,"Counsel individuals or groups concerning their spiritual, emotional, or personal needs.",43.04,43.04,56.96,0.09,2.99,5.59,88.16
10944,"Study and interpret religious laws, doctrines, or traditions.",26.07,26.07,73.93,0.04,2.89,1.79,15.62
10947,Respond to requests for assistance during emergencies or crises.,60.14,60.14,39.86,0.01,3.24,4.27,131.21
1095,"Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs.",50.0,50.0,50.0,0.0,2.66,3.43,32.04
10952,"Refer people to community support services, psychologists, or doctors.",56.6,56.6,43.4,0.0,3.23,2.63,75.22
10955,"Lead discussion sections, tutorials, or laboratory sections.",17.58,17.58,82.42,0.12,2.35,2.68,44.41
10956,"Evaluate and grade examinations, assignments, or papers, and record grades.",51.24,51.24,48.76,0.01,2.74,4.21,32.37
10959,"Inform students of the procedures for completing and submitting class work, such as lab reports.",29.24,29.24,70.76,0.06,2.48,2.69,46.07
10960,Prepare or proctor examinations.,65.62,65.63,34.38,0.01,3.22,5.31,12.37
10965,Teach undergraduate-level courses.,14.48,14.71,86.9,0.01,2.39,2.79,36.44
10966,Complete laboratory projects prior to assigning them to students so that any needed modifications can be made.,65.62,65.63,34.38,0.0,3.16,8.23,43.38
10967,"Develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course Web sites.",52.82,52.82,47.18,0.21,3.18,10.85,32.28
10977,Research information requested by farmers.,49.59,49.59,50.41,0.01,2.62,4.95,35.74
10978,"Prepare and distribute leaflets, pamphlets, and visual aids for educational and informational purposes.",43.88,41.37,52.92,0.02,3.32,6.6,26.05
10985,"Conduct agricultural research, analyze data, and prepare research reports.",60.71,60.71,39.29,0.0,3.14,10.56,39.18
10990,"Integrate and develop visual elements, such as line, space, mass, color, and perspective, to produce desired effects, such as the illustration of ideas, emotions, or moods.",46.41,46.41,53.59,0.12,3.23,6.29,32.29
10991,"Confer with clients, editors, writers, art directors, and other interested parties regarding the nature and content of artwork to be produced.",53.85,53.85,46.15,0.0,2.52,5.87,120.87
10992,"Submit preliminary or finished artwork or project plans to clients for approval, incorporating changes as necessary.",27.78,27.78,72.22,0.0,3.0,4.79,26.06
10996,"Monitor events, trends, and other circumstances, research specific subject areas, attend art exhibitions, and read art publications to develop ideas and keep current on art world activities.",70.59,70.59,29.41,0.0,3.22,1.36,6.78
10998,"Render drawings, illustrations, and sketches of buildings, manufactured products, or models, working from sketches, blueprints, memory, models, or reference materials.",56.1,56.1,43.9,0.0,3.41,3.97,12.55
11002,"Develop project budgets for approval, estimating time lines and material costs.",37.0,37.0,63.0,0.02,3.01,8.06,42.62
1101,Create specialty dishes and develop recipes to be used in dining facilities.,56.73,56.73,43.27,0.08,2.94,1.24,13.06
11020,Prepare actors for auditions by providing scripts and information about roles and casting requirements.,34.48,34.48,65.52,0.0,2.6,4.98,82.06
1103,"Schedule use of facilities or catering services for events such as banquets or receptions, and negotiate details of arrangements with clients.",71.05,71.05,28.95,0.0,2.46,0.74,9.9
11039,Assess students' dancing abilities to determine where improvement or change is needed.,33.33,33.33,66.67,0.0,2.83,0.27,4.75
1104,Greet and register guests.,77.78,77.78,22.22,0.01,2.22,0.29,0.94
11042,"Design sets, lighting, costumes, and other artistic elements of productions, in collaboration with cast members.",18.75,18.75,81.25,0.0,3.06,6.44,81.2
11046,"Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",16.31,16.31,83.69,0.74,2.49,4.23,48.21
11047,"Choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events.",37.22,37.22,62.78,0.17,2.83,5.28,71.81
11048,"Plan project arrangements or outlines, and organize material accordingly.",32.58,32.58,67.42,0.13,2.81,7.95,57.73
11049,"Prepare works in appropriate format for publication, and send them to publishers or producers.",61.54,61.54,38.46,0.0,3.22,11.83,44.5
1105,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints.",49.94,49.0,49.12,0.0,2.35,1.06,15.68
11051,"Write fiction or nonfiction prose, such as short stories, novels, biographies, articles, descriptive or critical analyses, and essays.",37.15,37.15,62.85,0.45,2.81,7.95,55.39
11052,"Develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue to create material.",36.86,36.86,63.14,0.49,2.86,9.47,75.36
11053,"Confer with clients, editors, publishers, or producers to discuss changes or revisions to written material.",11.32,11.32,88.68,0.0,2.49,4.97,83.42
11054,"Conduct research to obtain factual information and authentic detail, using sources such as newspaper accounts, diaries, and interviews.",22.86,22.86,77.14,0.0,2.97,5.42,33.87
11055,"Write narrative, dramatic, lyric, or other types of poetry for publication.",39.31,39.31,60.69,0.04,3.01,2.27,20.83
11057,"Write words to fit musical compositions, including lyrics for operas, musical plays, and choral works.",32.88,32.88,67.12,0.05,2.86,5.45,43.83
11058,Adapt text to accommodate musical requirements of composers and singers.,14.29,14.29,85.71,0.0,2.48,3.31,52.17
1106,"Assign duties to workers, and schedule shifts.",37.5,37.5,62.5,0.0,3.24,4.35,27.41
11060,"Write humorous material for publication, or for performances such as comedy routines, gags, and comedy shows.",38.9,38.9,61.1,0.07,2.88,1.52,13.97
11061,Collaborate with other writers on specific projects.,41.18,41.18,58.82,0.0,3.06,6.94,103.53
11069,Conduct safety training or education programs and demonstrate the use of safety equipment.,69.77,69.77,30.23,0.0,2.19,1.58,23.72
11108,Maintain records and logbooks.,98.04,98.04,1.96,0.0,3.04,2.08,5.71
1112,Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures.,95.45,95.45,4.55,0.0,3.09,0.87,2.26
11134,Determine how food should be presented and create decorative food displays.,40.43,45.61,67.19,0.0,2.92,4.64,30.3
11136,"Estimate amounts and costs of required supplies, such as food and ingredients.",42.03,37.5,51.72,0.0,2.55,1.31,17.52
11137,"Collaborate with other personnel to plan and develop recipes or menus, taking into account such factors as seasonal availability of ingredients or the likely number of customers.",19.85,18.75,75.73,0.0,2.61,5.92,52.11
11142,"Meet with customers to discuss menus for special occasions, such as weddings, parties, or banquets.",34.78,34.78,65.22,0.0,2.72,2.56,27.49
11146,Record production or operational data on specified forms.,77.42,77.42,22.58,0.0,3.13,3.05,20.06
1115,Develop and implement policies and procedures for the operation of a department or establishment.,46.43,46.43,53.57,0.01,3.16,10.02,51.18
11161,Record amounts and types of special food items served to customers.,85.71,85.71,14.29,0.0,2.29,1.95,55.0
1117,Prepare required paperwork pertaining to departmental functions.,68.18,71.43,33.33,0.0,3.28,5.15,26.78
11172,Locate items requested by customers.,75.0,75.0,25.0,0.02,2.53,0.6,6.59
11193,Clean or prepare various foods for cooking or serving.,73.91,73.91,26.09,0.0,2.41,0.3,5.61
1120,"Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment.",63.34,63.34,36.66,0.01,2.76,1.39,14.05
11200,"Inspect completed work to ensure conformance to specifications, standards, and contract requirements.",78.6,76.0,20.69,0.0,3.13,3.45,20.63
1121,Perform marketing and public relations activities.,76.79,79.05,23.89,0.0,3.15,2.37,23.84
11213,"Prepare or maintain required records, such as work activity or personnel reports.",67.61,61.67,29.55,0.0,3.21,3.43,20.15
11223,"Answer inquiries from current or prospective customers regarding methods, materials, or price ranges.",48.94,48.94,51.06,0.0,2.56,1.36,9.06
11237,"Answer customers' questions about products, prices, availability, or credit terms.",50.54,51.62,50.51,0.21,2.45,0.79,9.93
11238,"Quote prices, credit terms, or other bid specifications.",41.18,41.18,58.82,0.0,2.61,1.93,33.31
11239,"Emphasize product features, based on analyses of customers' needs and on technical knowledge of product capabilities and limitations.",26.58,26.58,73.42,0.05,2.61,1.95,19.16
11240,Negotiate prices or terms of sales or service agreements.,49.17,49.17,50.83,0.01,2.42,1.85,32.47
11241,"Maintain customer records, using automated systems.",90.62,90.63,9.38,0.0,2.88,2.39,31.66
11246,Prepare sales presentations or proposals to explain product specifications or applications.,35.35,35.35,64.65,0.04,3.0,9.21,51.68
11248,Provide customers with ongoing technical support.,69.53,69.53,30.47,0.05,2.3,3.06,87.52
11249,"Inform customers of estimated delivery schedules, service contracts, warranties, or other information pertaining to purchased products.",63.16,63.16,36.84,0.0,2.25,1.7,30.32
11252,"Complete expense reports, sales reports, or other paperwork.",50.0,50.0,50.0,0.0,3.0,4.43,22.61
11261,"Compute customer's installation or production costs and estimate savings from new services, products, or equipment.",25.0,25.0,75.0,0.0,2.63,1.95,17.0
11270,"Prepare documents and correspondence, such as damage claims, credit and billing inquiries, invoices, and service complaints.",48.58,48.58,51.42,0.02,2.44,1.64,30.34
11271,Compile data from records to prepare periodic reports.,82.13,82.13,17.87,0.01,3.13,3.59,12.64
11272,Present clear and concise explanations of governing rules and regulations.,28.8,28.87,71.36,0.28,2.37,1.93,18.53
11273,Read incoming correspondence to ascertain nature of writers' concerns and to determine disposition of correspondence.,78.36,78.36,21.64,0.01,2.28,0.82,8.91
11274,Type acknowledgment letters to persons sending correspondence.,61.46,61.46,38.54,0.02,2.46,0.91,14.05
11277,"Gather records pertinent to specific problems, review them for completeness and accuracy, and attach records to correspondence as necessary.",66.06,69.35,35.63,0.0,2.84,4.97,48.0
11278,Complete form letters in response to requests or problems identified by correspondence.,68.06,74.23,34.83,0.0,2.47,1.02,14.37
1128,"Prepare and maintain records and reports, such as budgets, personnel records, or training manuals.",43.55,43.55,56.45,0.0,3.18,6.83,36.18
11280,"Compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.",54.25,54.25,45.75,0.04,2.47,1.45,25.39
11297,"Prepare and type loan applications, closing documents, legal documents, letters, forms, government notices, and checks, using computers.",57.69,57.69,42.31,0.0,2.96,4.0,34.92
11299,"Calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.",36.84,36.84,63.16,0.0,2.68,4.43,34.91
11354,Answer customers' questions about postal services and regulations.,48.0,50.0,54.17,0.0,2.36,0.26,7.64
11362,"Examine documents, materials, or products and monitor work processes to assess completeness, accuracy, and conformance to standards and specifications.",41.02,41.02,58.98,0.14,2.7,4.51,28.54
11364,Confer with department supervisors or other personnel to assess progress and discuss needed changes.,68.42,68.42,31.58,0.0,2.55,1.6,32.93
11365,"Revise production schedules when required due to design changes, labor or material shortages, backlogs, or other interruptions, collaborating with management, marketing, sales, production, or engineering.",75.0,75.0,25.0,0.0,2.8,1.11,16.05
11369,"Calculate figures, such as required amounts of labor or materials, manufacturing costs, or wages, using pricing schedules, adding machines, calculators, or computers.",43.2,43.2,56.8,0.01,2.55,3.14,26.8
11371,"Compile information, such as production rates and progress, materials inventories, materials used, or customer information, so that status reports can be completed.",66.07,66.07,33.93,0.0,2.79,3.12,16.77
11376,"Establish and prepare product construction directions and locations and information on required tools, materials, equipment, numbers of workers needed, and cost projections.",44.03,44.03,55.97,0.01,3.18,7.32,34.82
11377,"Compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders.",52.38,52.38,47.62,0.0,2.82,3.26,66.09
1138,"Analyze proposed legislation, regulations, or rule changes to determine how agency services could be impacted.",37.15,32.61,55.17,0.0,2.72,8.13,30.43
11383,"Weigh or measure materials, equipment, or products to maintain relevant records, using volume meters, scales, rules, or calipers.",65.52,65.52,34.48,0.0,2.4,0.68,12.78
11384,"Communicate with customers and vendors to exchange information regarding products, materials, and services.",40.72,40.89,59.53,0.02,2.57,0.89,14.45
1139,"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies.",29.35,29.35,70.65,0.04,2.47,3.37,36.97
11390,"Sort products or materials into predetermined sequences or groupings for display, packing, shipping, or storage.",76.81,76.81,23.19,0.0,2.7,1.24,7.06
11401,"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners.",80.5,80.5,19.5,0.01,2.98,3.49,14.09
11402,"Compile, sort, and verify the accuracy of data before it is entered.",69.39,69.39,30.61,0.02,2.83,5.67,22.4
11403,"Compare data with source documents, or re-enter data in verification format to detect errors.",58.82,58.82,41.18,0.02,3.11,7.32,37.53
11404,Store completed documents in appropriate locations.,100.0,100.0,0.0,0.0,3.35,1.11,7.0
11405,"Locate and correct data entry errors, or report them to supervisors.",59.2,59.2,40.8,0.0,2.83,4.51,24.65
11406,Maintain logs of activities and completed work.,96.73,96.73,3.27,0.03,2.91,0.8,7.06
11409,"Resolve garbled or indecipherable messages, using cryptographic procedures and equipment.",67.86,73.91,35.0,0.0,2.59,0.35,3.85
11425,Estimate material or worker requirements to complete jobs.,44.96,44.96,55.04,0.01,2.67,3.52,33.44
11431,"Record information, such as personnel, production, or operational data on specified forms or reports.",92.46,92.46,7.54,0.01,2.91,2.5,33.67
1144,"Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.",57.71,57.71,42.29,0.01,2.6,5.1,32.1
1145,"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",31.73,31.73,68.27,0.0,2.82,9.75,77.73
1147,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.",36.82,38.3,65.71,0.0,2.47,5.26,47.64
11505,Confer with customers to determine project requirements or to provide cost estimates.,28.3,31.58,80.0,0.0,2.55,1.22,33.35
1151,"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories.",74.02,74.02,25.98,0.01,3.09,4.43,30.07
11515,"Calculate amounts of required materials and estimate costs, based on surface measurements or work orders.",40.13,40.13,59.87,0.01,2.68,3.68,37.59
1152,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.",80.71,80.71,19.29,0.01,2.44,0.81,5.06
1157,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",45.9,45.9,54.1,0.0,3.08,13.85,54.79
1158,"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",65.39,65.39,34.61,0.05,2.79,5.44,43.15
11623,Converse with customers to determine details of equipment problems.,72.63,72.63,27.37,0.0,2.48,0.35,8.09
11644,Analyze equipment performance records to assess equipment functioning.,65.14,65.14,34.86,0.0,2.72,4.68,35.22
11655,"Demonstrate equipment to customers and explain its use, responding to any inquiries or complaints.",27.13,27.13,72.87,0.08,2.47,0.99,9.55
11656,"Analyze test readings, computer printouts, and trouble reports to determine equipment repair needs and required repair methods.",80.0,80.0,20.0,0.0,2.52,3.45,60.02
11674,Maintain computer and manual records pertaining to facilities and equipment.,76.19,76.19,23.81,0.0,3.05,2.74,54.76
11677,"Perform database verifications, using computers.",72.11,75.51,29.2,0.0,2.62,1.7,8.93
11682,Measure distances from landmarks to identify exact installation sites for equipment.,68.42,68.42,31.58,0.0,2.37,0.62,13.53
11686,Provide input into the design and manufacturing of new equipment.,27.78,27.78,72.22,0.0,2.61,4.49,46.68
11695,Read service guides to find information needed to perform repairs.,63.16,63.16,36.84,0.0,2.24,0.57,12.33
11740,Confer with customers to determine the nature of malfunctions.,88.68,88.68,11.32,0.0,2.38,0.41,6.7
11741,Estimate costs of repairs based on parts and labor requirements.,55.64,60.0,47.83,0.0,2.75,1.49,20.17
11747,"Prepare and maintain records detailing tests, repairs, and maintenance.",57.14,57.14,42.86,0.0,3.29,8.86,36.62
11748,"Analyze test data to diagnose malfunctions, to determine performance characteristics of systems, or to evaluate effects of system modifications.",66.37,66.37,33.63,0.06,2.75,6.43,63.7
11767,"Demonstrate systems for customers and explain details, such as the causes and consequences of false alarms.",18.12,18.12,81.88,0.03,2.54,1.14,9.33
11771,Provide customers with cost estimates for equipment installation.,52.94,52.94,47.06,0.0,2.82,3.19,31.18
11772,"Prepare documents, such as invoices or warranties.",48.57,48.57,51.43,0.0,3.11,5.42,42.89
11821,"Analyze test results, machine error messages, or information obtained from operators to diagnose equipment problems.",82.33,82.33,17.67,0.02,2.65,3.92,59.33
11908,Record production and operational data on specified forms.,93.18,93.18,6.82,0.0,3.06,3.55,46.82
11922,Adapt the quantity of ingredients to match the amount of items to be baked.,62.22,80.0,48.57,0.0,2.25,0.96,50.75
11927,Prepare or maintain inventory or production records.,71.11,71.11,28.89,0.0,3.0,5.49,33.8
11931,Develop new recipes for baked goods.,41.91,41.91,58.09,0.02,2.73,1.59,25.11
11955,"Implement changes to machine programs, and enter new specifications, using computers.",77.27,77.27,22.73,0.0,2.64,2.24,38.77
11964,Compare encoded tapes or computer printouts with original part specifications and blueprints to verify accuracy of instructions.,43.66,43.66,56.34,0.0,2.25,1.73,10.05
11968,"Enter computer commands to store or retrieve parts patterns, graphic displays, or programs that transfer data to other media.",87.5,87.5,12.5,0.0,2.69,0.97,14.63
11969,"Prepare geometric layouts from graphic displays, using computer-assisted drafting software or drafting instruments and graph paper.",40.37,40.37,59.63,0.01,3.15,4.96,25.74
1213,"Plan and develop programs, agendas, budgets, and services according to customer requirements.",41.79,41.41,57.68,0.07,3.13,11.73,47.82
1217,"Maintain records of event aspects, including financial details.",60.0,60.0,40.0,0.0,3.07,,19.6
12222,"Estimate the amounts, types, or costs of needed materials.",45.9,44.8,52.81,0.01,2.7,3.77,32.64
12238,"Compute dimensions, areas, volumes, and weights.",61.35,61.35,38.65,0.02,2.32,0.94,9.44
1225,Design and implement efforts to publicize events and promote sponsorships.,29.41,29.41,70.59,0.05,2.85,5.25,40.93
1228,"Promote conference, convention and trades show services by performing tasks such as meeting with professional and trade associations, and producing brochures and other publications.",33.33,33.33,66.67,0.0,2.61,6.2,36.13
12306,"Track conditions that could affect power needs, such as changes in the weather, and adjust equipment to meet any anticipated changes.",100.0,100.0,0.0,0.0,2.33,0.22,1.83
12308,Calculate load estimates or equipment requirements to determine required control settings.,50.0,50.0,50.0,0.0,2.56,2.89,30.0
12324,"Record and compile operational data by completing and maintaining forms, logs, or reports.",93.6,93.6,6.4,0.03,3.16,2.33,18.92
12378,"Record data from operations, testing, and production on specified forms.",,,,0.0,3.2,7.07,67.53
12407,Record operational or production data on specified forms.,90.85,90.85,9.15,0.01,2.88,2.49,31.42
12472,"Discard or reject products, materials, or equipment not meeting specifications.",65.0,61.9,33.33,0.0,3.1,3.67,43.52
12481,"Analyze test data, making computations as necessary, to determine test results.",80.0,80.0,20.0,0.0,2.9,2.93,14.4
12484,"Compare colors, shapes, textures, or grades of products or materials with color charts, templates, or samples to verify conformance to standards.",55.81,55.81,44.19,0.0,2.4,0.52,6.13
12493,"Grade, classify, or sort products according to sizes, weights, colors, or other specifications.",80.65,77.63,18.62,0.0,2.8,2.79,12.96
12497,"Interpret legal requirements, provide safety information, or recommend compliance procedures to contractors, craft workers, engineers, or property owners.",26.52,26.52,73.48,0.01,2.7,8.21,60.13
1250,Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,58.33,58.33,41.67,0.0,2.86,7.48,30.14
1251,Prepare reports that include the degree of risk involved in extending credit or lending money.,42.11,42.11,57.89,0.0,3.25,11.3,35.3
12510,Record operational data on specified forms.,96.74,96.74,3.26,0.0,2.89,1.46,38.08
1252,"Evaluate customer records and recommend payment plans, based on earnings, savings data, payment history, and purchase activity.",47.74,46.55,50.96,0.01,2.53,5.98,73.33
1257,"Compare liquidity, profitability, and credit histories of establishments being evaluated with those of similar establishments in the same industries and geographic locations.",55.1,55.1,44.9,0.0,2.65,11.0,39.29
1267,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,73.78,73.0,25.94,0.33,2.8,4.56,46.39
1268,Conduct trial runs of programs and software applications to be sure they will produce the desired information and that the instructions are correct.,89.42,89.42,10.58,0.01,3.45,7.66,31.36
1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",77.02,77.02,22.98,0.03,3.13,10.44,52.64
1270,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",71.81,71.81,28.19,0.28,3.11,10.74,65.54
1272,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",65.92,66.62,34.44,0.15,2.98,6.29,45.22
1273,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",62.1,62.1,37.9,0.28,2.94,9.38,62.26
1274,Write or contribute to instructions or manuals to guide end users.,65.43,65.43,34.57,0.01,3.11,7.19,25.76
12743,"Compile information about flights from flight plans, pilot reports, radar, or observations.",50.0,50.0,50.0,0.0,2.78,3.92,19.11
12748,"Review records or reports for clarity and completeness and maintain records or reports, as required under federal law.",55.65,55.65,44.35,0.01,2.78,4.4,28.05
1275,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",96.15,96.15,3.85,0.0,2.51,0.37,2.93
1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",51.22,51.22,48.78,0.01,3.19,7.33,32.89
12773,"Greet passengers, provide information, and answer questions concerning fares, schedules, transfers, and routings.",67.67,67.67,32.33,0.0,2.3,0.57,13.14
1281,Train subordinates in programming and program coding.,38.46,38.46,61.54,0.0,2.52,5.2,152.67
1282,Answer user inquiries regarding computer software or hardware operation to resolve problems.,66.49,66.49,33.51,1.98,2.39,1.34,33.1
1283,Enter commands and observe system functioning to verify correct operations and detect errors.,95.65,95.65,4.35,0.0,3.31,4.76,26.61
1284,"Install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications.",94.43,94.97,5.6,0.01,2.72,2.29,60.33
1285,Oversee the daily performance of computer systems.,99.75,99.75,0.25,0.01,2.85,0.71,3.47
12866,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.",27.53,29.55,77.78,0.0,2.39,3.03,73.35
1287,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",99.34,99.34,0.66,0.01,3.05,0.9,5.15
12874,Prepare periodic accounting statements for clients.,57.81,57.81,42.19,0.0,3.09,4.7,21.05
12875,"Advise clients on financial and legal matters, such as investments and taxes.",28.0,28.0,72.0,0.11,2.5,3.97,39.88
1288,"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",53.27,53.27,46.73,0.06,2.43,2.32,32.44
12882,Review orders to determine product types and quantities required to meet demand.,40.54,40.54,59.46,0.0,2.32,3.49,27.22
12883,"Maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.",89.28,81.58,9.8,0.0,2.92,2.34,12.58
1289,"Confer with staff, users, and management to establish requirements for new systems or modifications.",41.03,41.03,58.97,0.0,2.69,10.54,89.75
12890,"Prepare correspondence, reports of inspections or investigations, or recommendations for action.",71.45,71.45,28.55,0.03,2.83,2.06,18.61
12904,Analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives.,48.48,48.48,51.52,0.0,2.84,7.92,44.84
12907,"Interview clients to determine their current income, expenses, insurance coverage, tax status, financial objectives, risk tolerance, or other information needed to develop a financial plan.",75.0,75.0,25.0,0.0,2.71,3.09,22.88
12913,"Prepare or interpret for clients information, such as investment performance reports, financial document summaries, or income projections.",33.07,33.07,66.93,0.15,2.57,3.75,26.43
